Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
Best. Christmas. Ever!,2023,82,TV-PG,4.3,34,"7,112"
Deadpool 3,2024,N/A,,,,N/A
Last Christmas,2019,103,PG-13,6.5,50,"86,542"
Fast Charlie,2023,90,,5.9,,"1,677"
Scrooged,1988,101,PG-13,6.9,38,"111,584"
Godzilla vs. Kong,2021,113,PG-13,6.3,59,"229,703"
Past Lives,2023,105,PG-13,8.0,94,"46,570"
John Wick: Chapter 4,2023,169,R,7.7,78,"305,600"
Dune,2021,155,PG-13,8.0,74,"731,918"
Reptile,2023,134,R,6.8,52,"71,031"
It's a Wonderful Knife,2023,87,R,5.3,51,"2,812"
Gladiator,2000,155,R,8.5,67,"1,582,153"
Shin Godzilla,2016,120,Not Rated,6.8,67,"32,447"
Hunter Killer,2018,121,R,6.6,43,"70,628"
The Wolf of Wall Street,2013,180,R,8.2,75,"1,534,755"
The Godfather,1972,175,R,9.2,100,"1,971,846"
Ferrari,2023,130,R,6.6,74,"1,359"
I.S.S.,2023,95,R,7.0,,63
12th Fail,2023,147,,9.2,,"9,618"
The Hunger Games: Catching Fire,2013,146,PG-13,7.5,76,"705,702"
Willy Wonka & the Chocolate Factory,1971,100,G,7.8,67,"217,346"
Miracle on 34th Street,1994,114,PG,6.6,,"41,728"
Suicide Squad,2016,123,PG-13,5.9,40,"712,797"
Feast of the Seven Fishes,2019,99,,6.8,68,"2,491"
Sound of Freedom,2023,131,PG-13,7.7,36,"88,501"
Godzilla,2014,123,PG-13,6.4,62,"431,656"
Charlie and the Chocolate Factory,2005,115,PG,6.7,72,"512,636"
Uncle Buck,1989,100,PG,7.1,51,"105,487"
Klaus,2019,96,PG,8.2,65,"176,763"
Jingle All the Way,1996,89,PG,5.7,34,"112,304"
Office Christmas Party,2016,105,R,5.9,42,"85,608"
Bottoms,2023,91,R,6.8,74,"24,003"
A Christmas Carol,2009,96,PG,6.8,55,"125,930"
EXmas,2023,93,,5.7,,"2,975"
Christmas with the Kranks,2004,99,PG,5.4,22,"55,205"
The Dark Knight,2008,152,PG-13,9.0,84,"2,810,373"
Prometheus,2012,124,R,7.0,64,"634,620"
Gremlins,1984,106,PG,7.3,70,"241,301"
Four Christmases,2008,88,PG-13,5.7,41,"78,168"
Mean Girls,2024,N/A,,,,N/A
The Naughty Nine,2023,83,TV-PG,5.1,,"1,247"
Titanic,1997,194,PG-13,7.9,75,"1,256,593"
Watchmen,2009,162,R,7.6,56,"573,644"
Argylle,2024,135,PG-13,,,N/A
The Zone of Interest,2023,105,PG-13,8.0,94,"1,557"
The Santa Clause 2,2002,104,G,5.7,48,"62,423"
The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,8.8,92,"1,963,944"
Christmas as Usual,2023,88,TV-14,5.5,,"1,756"
Gladiator 2,2024,N/A,,,,N/A
When Evil Lurks,2023,99,Not Rated,7.0,75,"16,138"
Blade Runner 2049,2017,164,R,8.0,81,"636,040"
Asteroid City,2023,105,PG-13,6.6,75,"89,582"
A Good Person,2023,128,R,7.1,50,"17,272"
Old Dads,2023,104,R,6.2,42,"32,806"
Krampus,2015,98,PG-13,6.2,49,"81,095"
The Boys in the Boat,2023,124,PG-13,,,N/A
Guardians of the Galaxy Vol. 3,2023,150,PG-13,7.9,64,"349,990"
Fight Club,1999,139,R,8.8,67,"2,264,566"
The Marsh King's Daughter,2023,109,R,5.9,46,"4,341"
Gran Turismo,2023,134,PG-13,7.2,48,"62,827"
Migration,2023,92,PG,7.2,,378
Fargo,1996,98,R,8.1,86,"710,499"
Pain Hustlers,2023,123,R,6.5,44,"31,159"
Dumb Money,2023,105,R,6.9,66,"20,121"
Saw X,2023,118,R,6.6,60,"58,456"
Priscilla,2023,113,R,7.1,78,"6,197"
Beetlejuice 2,2024,N/A,,,,N/A
A Christmas Story Christmas,2022,98,PG,6.7,55,"16,981"
Pulp Fiction,1994,154,R,8.9,95,"2,169,181"
Love,2015,135,TV-MA,6.1,51,"65,073"
Dungeons & Dragons: Honor Among Thieves,2023,134,PG-13,7.3,72,"204,739"
Night Swim,2024,116,PG-13,,,N/A
Inception,2010,148,PG-13,8.8,74,"2,494,721"
Avatar: The Way of Water,2022,192,PG-13,7.6,67,"471,094"
L.A. Confidential,1997,138,R,8.2,91,"606,563"
The Family Plan,2023,118,PG-13,,,N/A
The Family Stone,2005,103,PG-13,6.3,56,"72,810"
The Oath,2023,104,PG-13,3.3,,191
"Salò, or the 120 Days of Sodom",1975,117,TV-MA,5.8,,"64,501"
Godzilla: King of the Monsters,2019,132,PG-13,6.0,48,"198,162"
The Jester,2023,90,,4.1,,903
Black Swan,2010,108,R,8.0,79,"808,010"
Top Gun: Maverick,2022,130,PG-13,8.3,78,"645,812"
She's the Man,2006,105,PG-13,6.4,45,"171,797"
Babylon,2022,189,R,7.1,61,"154,370"
Inglourious Basterds,2009,153,R,8.4,69,"1,544,708"
Fair Play,2023,113,R,6.4,73,"29,194"
Nyad,2023,121,PG-13,7.1,64,"12,714"
Joker: Folie à Deux,2024,N/A,,,,N/A
How the Gringo Stole Christmas,2023,81,PG-13,3.2,,284
Home Alone 3,1997,102,PG,4.6,,"124,033"
Good Burger 2,2023,90,TV-PG,5.4,48,"2,207"
Death on the Nile,2022,127,PG-13,6.3,52,"179,464"
Raiders of the Lost Ark,1981,115,PG,8.4,86,"1,020,992"
The Gentlemen,2019,113,R,7.8,51,"377,100"
Pearl,2022,103,R,7.0,76,"82,502"
Please Don't Destroy: The Treasure of Foggy Mountain,2023,92,R,6.1,49,"4,041"
Kingdom of the Planet of the Apes,2024,N/A,,,,N/A
Django Unchained,2012,165,R,8.5,81,"1,655,628"
Naga,2023,111,TV-MA,4.9,,"3,627"
Mission Raniganj,2023,134,,7.4,,"14,489"
Lucy,2014,89,R,6.4,62,"524,831"
Bad Santa,2003,92,R,7.1,70,"151,381"
Whiplash,2014,106,R,8.5,89,"950,889"
The Flash,2023,144,PG-13,6.7,55,"189,800"
Midsommar,2019,148,R,7.1,72,"381,165"
Once Upon a Time in Hollywood,2019,161,R,7.6,83,"813,404"
American Fiction,2023,117,R,7.8,80,873
Uncharted,2022,116,PG-13,6.3,45,"245,573"
Elemental,2023,101,PG,7.0,58,"101,543"
Eyes Wide Shut,1999,159,TV-MA,7.5,69,"366,124"
Fast X,2023,141,PG-13,5.8,56,"104,689"
Fallen Leaves,2023,81,,7.6,87,"4,993"
The Hunger Games: Mockingjay - Part 2,2015,137,PG-13,6.5,65,"360,440"
The Muppet Christmas Carol,1992,85,G,7.8,64,"66,456"
The Three Musketeers - Part I: D'Artagnan,2023,121,,6.7,78,"14,793"
All of Us Strangers,2023,105,R,,91,N/A
The Menu,2022,107,R,7.2,71,"364,587"
The Nightmare Before Christmas,1993,76,PG,7.9,82,"367,801"
Jack Frost,1998,101,PG,5.4,40,"39,684"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,PG,6.9,75,"419,525"
The Christmas Chronicles,2018,104,PG,7.0,52,"80,417"
Expend4bles,2023,103,R,4.8,30,"26,861"
Triangle of Sadness,2022,147,R,7.3,63,"162,340"
Goodfellas,1990,145,R,8.7,92,"1,229,557"
Thank You for Coming,2023,119,,4.9,68,"7,655"
Silver and the Book of Dreams,2023,92,,5.5,,700
The Northman,2022,137,R,7.0,82,"241,703"
Requiem for a Dream,2000,102,Unrated,8.3,71,"883,101"
Transformers: Rise of the Beasts,2023,127,PG-13,6.1,42,"90,534"
Parasite,2019,132,R,8.5,96,"909,343"
Kingdom of Heaven,2005,144,R,7.2,63,"307,090"
The Covenant,2023,123,R,7.5,63,"143,150"
Merry Little Batman,2023,92,,6.4,,"1,014"
American Pie,1999,95,R,7.0,58,"426,797"
American Psycho,2000,102,R,7.6,64,"689,228"
Miracle on 34th Street,1947,96,Not Rated,7.9,88,"52,634"
Léon: The Professional,1994,110,R,8.5,64,"1,221,180"
Sing 2,2021,110,PG,7.4,49,"81,874"
Spider-Man: No Way Home,2021,148,PG-13,8.2,71,"847,911"
There Will Be Blood,2007,158,R,8.2,93,"628,305"
The Hunger Games: Mockingjay - Part 1,2014,123,PG-13,6.6,64,"489,629"
Joker,2019,122,R,8.4,59,"1,428,888"
Journey to Bethlehem,2023,99,PG,6.3,,"1,016"
Se7en,1995,127,R,8.6,65,"1,756,073"
Bullet Train,2022,127,R,7.3,49,"396,890"
Avengers: Endgame,2019,181,PG-13,8.4,78,"1,231,703"
Wifelike,2022,105,R,4.9,,"3,603"
Harry Potter and the Goblet of Fire,2005,157,PG-13,7.7,81,"666,024"
Don't Worry Darling,2022,123,R,6.3,48,"134,836"
The Whale,2022,117,R,7.7,60,"191,957"
The Matrix,1999,136,R,8.7,73,"2,011,040"
Dashing Through the Snow,2023,92,PG,5.5,,"2,206"
Mean Girls,2004,97,PG-13,7.1,66,"417,185"
Heat,1995,170,R,8.3,76,"702,083"
The Little Mermaid,2023,135,PG,7.2,59,"145,827"
Little Women,2019,135,PG,7.8,91,"233,351"
Gone Girl,2014,149,R,8.1,79,"1,043,264"
The Goonies,1985,114,PG,7.7,62,"292,555"
American Beauty,1999,122,R,8.3,84,"1,194,765"
Schindler's List,1993,195,R,9.0,95,"1,421,598"
The Departed,2006,151,R,8.5,85,"1,394,940"
Blockers,2018,102,R,6.2,69,"83,954"
Shazam! Fury of the Gods,2023,130,PG-13,6.0,47,"114,854"
The Wicker Man,1973,88,R,7.5,87,"89,820"
"Crazy, Stupid, Love.",2011,118,PG-13,7.4,68,"551,484"
Last Call for Istanbul,2023,91,TV-MA,5.4,,"6,577"
No Time to Die,2021,163,PG-13,7.3,68,"434,169"
The Silence of the Lambs,1991,118,R,8.6,86,"1,513,649"
Alien,1979,117,R,8.5,89,"930,402"
The Color Purple,1985,154,PG-13,7.7,78,"93,445"
The Big Lebowski,1998,117,R,8.1,71,"846,488"
Fifty Shades of Grey,2015,125,R,4.2,46,"331,501"
Next Goal Wins,2023,104,PG-13,6.5,44,"3,071"
Good Boys,2019,90,R,6.7,,"79,693"
The Father,2020,97,PG-13,8.2,88,"182,483"
Blade Runner,1982,117,R,8.1,84,"808,221"
Forrest Gump,1994,142,PG-13,8.8,82,"2,204,356"
Beau Is Afraid,2023,179,R,6.8,63,"47,937"
Infinity Pool,2023,117,R,6.0,72,"48,264"
Eight Crazy Nights,2002,76,PG-13,5.3,23,"24,821"
Scrapper,2023,84,Not Rated,7.0,74,"3,027"
Civil War,R,N/A,,,,N/A
The Notebook,2004,123,PG-13,7.8,53,"604,854"
Chicken Run: Dawn of the Nugget,2023,101,PG,7.3,62,360
The Abyss,1989,140,PG-13,7.5,62,"187,878"
Promising Young Woman,2020,113,R,7.5,72,"200,408"
Hypnotic,2023,93,R,5.5,53,"26,958"
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,99,PG,7.2,74,"51,583"
Man of Steel,2013,143,PG-13,7.1,55,"801,684"
The Night Before,2015,101,R,6.4,58,"80,449"
Kong: Skull Island,2017,118,PG-13,6.7,62,"339,191"
Good Will Hunting,1997,126,R,8.3,70,"1,034,040"
BlackBerry,2023,120,R,7.4,78,"29,049"
Nosferatu,2024,N/A,,,,N/A
Spirited Away,2001,125,PG,8.6,96,"822,665"
Tombstone,1993,130,R,7.8,50,"161,680"
Saving Private Ryan,1998,169,R,8.6,91,"1,465,920"
John Wick,2014,101,R,7.4,68,"722,049"
Meg 2: The Trench,2023,116,PG-13,5.0,40,"66,716"
How to Have Sex,2023,91,,7.1,80,"2,044"
Fred Claus,2007,116,PG,5.7,42,"46,625"
Mad Max,1979,88,R,6.8,73,"218,042"
The Prestige,2006,130,PG-13,8.5,66,"1,411,700"
Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,8.1,85,"927,659"
No Country for Old Men,2007,122,R,8.2,92,"1,035,276"
Hereditary,2018,127,R,7.3,87,"363,412"
Good Grief,2023,100,R,,,N/A
The Killing of a Sacred Deer,2017,121,R,7.0,73,"173,205"
Deck the Halls,2006,93,PG,5.0,28,"31,796"
Your Christmas or Mine 2,2023,101,,5.8,,741
Nativity!,2009,105,PG,6.4,,"11,933"
Troy,2004,163,R,7.3,56,"560,671"
The Burial,2023,126,R,7.1,74,"25,321"
Strays,2023,93,R,6.3,54,"21,615"
National Lampoon's Vacation,1983,98,R,7.3,55,"117,944"
Back to the Future,1985,116,PG,8.5,87,"1,278,205"
Nowhere,2023,109,TV-MA,6.3,,"28,173"
Race for Glory: Audi vs. Lancia,2024,N/A,,,,N/A
Murder on the Orient Express,2017,114,PG-13,6.5,52,"284,883"
Alien: Covenant,2017,122,R,6.4,65,"298,121"
A Serbian Film,2010,104,NC-17,5.0,,"69,875"
Alien: Romulus,2024,N/A,,,,N/A
Elvis,2022,159,PG-13,7.3,64,"220,864"
"Are You There God? It's Me, Margaret.",2023,106,PG-13,7.3,84,"18,923"
Love Story,1970,100,PG,6.9,84,"36,604"
Theater Camp,2023,92,PG-13,7.0,70,"11,666"
The Princess Bride,1987,98,PG,8.0,78,"444,298"
Aliens,1986,137,R,8.4,84,"750,065"
Holidate,2020,104,TV-MA,6.1,44,"75,859"
Totally Killer,2023,106,R,6.5,62,"41,046"
Pride & Prejudice,2005,129,PG,7.8,82,"321,443"
Prisoners,2013,153,R,8.1,70,"783,313"
The Exorcist,1973,122,R,8.1,82,"446,103"
Wind River,2017,107,R,7.7,73,"273,294"
The Lord of the Rings: The Return of the King,2003,201,PG-13,9.0,94,"1,937,072"
Your Christmas or Mine?,2022,95,,6.4,,"7,957"
The Bikeriders,2023,116,R,7.6,71,967
What Happens Later,2023,103,R,5.0,65,"1,365"
Greater,2016,130,PG,7.3,35,"7,481"
Harry Potter and the Prisoner of Azkaban,2004,142,PG,7.9,82,"675,256"
Monster,2023,126,PG-13,8.1,82,"3,819"
Scarface,1983,170,18+,8.3,65,"895,831"
The Banshees of Inisherin,2022,114,R,7.7,87,"235,019"
The Nun II,2023,110,R,5.6,47,"50,259"
Evil Dead Rise,2023,96,R,6.5,69,"126,121"
The Santa Clause 3: The Escape Clause,2006,92,G,4.8,32,"41,540"
The Equalizer,2014,132,R,7.2,57,"407,228"
A Man Called Otto,2022,126,PG-13,7.5,51,"143,307"
Jurassic Park,1993,127,PG-13,8.2,68,"1,045,124"
The Beekeeper,2024,105,R,,,N/A
Four Weddings and a Funeral,1994,117,R,7.1,81,"162,452"
Harry Potter and the Chamber of Secrets,2002,161,PG,7.4,63,"676,235"
Kandahar,2023,119,R,6.1,52,"27,195"
Indiana Jones and the Temple of Doom,1984,118,PG,7.5,57,"526,556"
Love Hard,2021,104,TV-MA,6.3,42,"59,294"
Wicked,2024,N/A,,,,N/A
The Green Mile,1999,189,R,8.6,61,"1,376,381"
Eternal Sunshine of the Spotless Mind,2004,108,R,8.3,89,"1,056,314"
Joy Ride,2023,95,R,6.4,74,"18,135"
Godzilla,1954,96,Not Rated,7.5,78,"37,432"
Shutter Island,2010,138,R,8.2,63,"1,415,578"
Spider-Man: Into the Spider-Verse,2018,117,PG,8.4,87,"644,690"
Beverly Hills Cop: Axel Foley,2024,N/A,,,,N/A
Australia,2008,165,PG-13,6.6,53,"128,605"
365 Days,2020,114,TV-MA,3.3,,"96,343"
Belfast,2021,98,PG-13,7.2,75,"86,622"
Noelle,2019,100,G,6.3,48,"25,485"
The Lost City,2022,112,PG-13,6.1,60,"147,658"
Sisu,2022,91,R,6.9,70,"63,250"
Get Out,2017,104,R,7.8,85,"672,994"
Star Wars: Episode IV - A New Hope,1977,121,PG,8.6,90,"1,425,673"
Frozen,2013,102,PG,7.4,75,"652,926"
Twilight,2008,122,PG-13,5.3,56,"480,670"
The Favourite,2018,119,R,7.5,91,"215,561"
A Boy Called Christmas,2021,106,PG,6.7,61,"25,468"
Jeanne du Barry,2023,113,,6.7,51,"8,290"
The Dark Knight Rises,2012,164,PG-13,8.4,78,"1,792,429"
Tenet,2020,150,PG-13,7.3,69,"570,871"
Oldboy,2003,120,R,8.4,78,"618,917"
The Meg,2018,113,PG-13,5.6,46,"202,451"
The Sacrifice Game,2023,90,,5.5,56,606
No One Will Save You,2023,93,PG-13,6.3,60,"54,859"
The Noel Diary,2022,99,TV-14,6.1,63,"18,012"
Renfield,2023,93,R,6.4,53,"83,278"
Her,2013,126,R,8.0,91,"654,589"
Taken,2008,90,PG-13,7.8,51,"625,094"
The Secret: Dare to Dream,2020,107,PG,6.5,32,"16,699"
Call Me by Your Name,2017,132,R,7.8,94,"302,101"
Harry Potter and the Deathly Hallows: Part 1,2010,146,PG-13,7.7,65,"585,020"
Catch Me If You Can,2002,141,PG-13,8.1,75,"1,064,099"
Nobody,2021,92,R,7.4,64,"311,490"
The Family Man,2000,125,PG-13,6.8,42,"116,509"
The Last Duel,2021,152,R,7.4,67,"175,547"
The Last Voyage of the Demeter,2023,118,R,6.1,52,"37,795"
Girl in the Basement,2021,88,TV-14,6.3,,"12,405"
"Planes, Trains & Automobiles",1987,93,R,7.6,72,"156,697"
Indiana Jones and the Kingdom of the Crystal Skull,2008,122,PG-13,6.2,65,"484,437"
Indiana Jones and the Last Crusade,1989,127,PG-13,8.2,65,"798,113"
Beetlejuice,1988,92,PG,7.5,70,"331,037"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,8.1,63,"1,186,031"
65,2023,93,PG-13,5.4,40,"80,700"
The Lobster,2015,119,R,7.1,82,"280,188"
Femme,2023,99,,7.8,67,503
Dazed and Confused,1993,103,R,7.6,82,"195,906"
Barbarian,2022,102,R,7.0,78,"168,430"
The Sound of Music,1965,172,G,8.1,63,"252,646"
2001: A Space Odyssey,1968,149,G,8.3,84,"705,594"
Silent Night,2021,92,,5.7,52,"17,314"
The Truman Show,1998,103,PG,8.2,90,"1,162,459"
Don't Look Up,2021,138,R,7.2,49,"579,337"
Inside Out 2,2024,N/A,,,,N/A
Drive,2011,100,R,7.8,79,"689,999"
The Outsiders,1983,91,PG,7.0,45,"95,001"
Thor: Love and Thunder,2022,118,PG-13,6.2,57,"386,028"
Sicario,2015,121,R,7.7,82,"461,526"
Love & Other Drugs,2010,112,R,6.7,55,"218,865"
Taxi Driver,1976,114,R,8.2,94,"897,865"
Pig,2021,92,R,6.9,82,"86,059"
Top Gun,1986,109,PG,6.9,50,"489,588"
Memento,2000,113,R,8.4,83,"1,299,209"
Happiest Season,2020,102,PG-13,6.6,69,"45,574"
Lolita,1997,137,R,6.8,46,"64,944"
Trading Places,1983,116,R,7.5,69,"161,638"
Scream VI,2023,122,R,6.5,61,"111,967"
The Shining,1980,146,R,8.4,66,"1,084,694"
300,2006,117,R,7.6,52,"851,961"
The Usual Suspects,1995,106,R,8.5,76,"1,128,106"
RoboCop,1987,102,R,7.6,70,"276,396"
The Devil Wears Prada,2006,109,PG-13,6.9,62,"450,348"
Malena,2000,108,R,7.4,54,"109,907"
Quiz Lady,2023,99,R,6.7,59,"13,711"
Knives Out,2019,130,PG-13,7.9,82,"749,802"
The Bishop's Wife,1947,109,G,7.6,73,"19,913"
Dune,1984,137,PG-13,6.3,41,"169,221"
Boogie Nights,1997,155,R,7.9,86,"278,158"
It Ends with Us,2024,N/A,,,,N/A
Doctor Strange in the Multiverse of Madness,2022,126,PG-13,6.9,60,"462,134"
The Irishman,2019,209,R,7.8,94,"420,360"
Avatar,2009,162,PG-13,7.9,83,"1,367,491"
Prey,2022,100,R,7.1,71,"218,987"
Dogtooth,2009,97,Not Rated,7.2,73,"104,948"
12 Angry Men,1957,96,Approved,9.0,97,"843,811"
Hell or High Water,2016,102,R,7.6,88,"246,656"
Madame Web,2024,N/A,,,,N/A
Ford v Ferrari,2019,152,PG-13,8.1,81,"446,854"
Tropic Thunder,2008,107,R,7.1,71,"440,122"
Divergent,2014,139,PG-13,6.6,48,"481,339"
Bone Tomahawk,2015,132,Not Rated,7.1,72,"114,177"
Sense and Sensibility,1995,136,PG,7.7,84,"123,106"
Black Adam,2022,125,PG-13,6.2,41,"264,304"
The Dreamers,2003,115,NC-17,7.1,63,"128,944"
Cars,2006,117,G,7.2,73,"455,936"
Fast Times at Ridgemont High,1982,90,R,7.1,61,"113,511"
La La Land,2016,128,PG-13,8.0,94,"644,141"
The Mummy,2017,110,PG-13,5.4,34,"202,569"
1917,2019,119,R,8.2,78,"653,167"
Cobweb,2023,88,R,6.0,50,"24,437"
American Hustle,2013,138,R,7.2,90,"495,800"
Black Hawk Down,2001,144,R,7.7,74,"417,121"
Glass Onion,2022,139,PG-13,7.1,81,"419,454"
Pearl Harbor,2001,183,PG-13,6.2,44,"347,469"
Apocalypse Now,1979,147,R,8.4,94,"698,032"
The Hateful Eight,2015,168,R,7.8,68,"644,269"
Where the Crawdads Sing,2022,125,PG-13,7.2,43,"112,046"
Mystery of the Wax Museum,1933,77,Passed,6.8,,"6,656"
Harry Potter and the Order of the Phoenix,2007,138,PG-13,7.5,71,"618,834"
The Hangover,2009,100,R,7.7,73,"828,731"
The Girl Next Door,2004,109,R,6.7,47,"235,922"
Meet Joe Black,1998,178,PG-13,7.2,43,"259,041"
Santa Claus: The Movie,1985,107,PG,6.2,,"15,063"
Die Hard 2,1990,124,R,7.1,67,"376,540"
It,2017,135,R,7.3,69,"591,990"
Last Night in Soho,2021,116,R,7.0,65,"168,156"
City of God,2002,130,R,8.6,79,"788,182"
Godzilla,1998,139,PG-13,5.4,32,"200,464"
Memory,2023,100,R,7.0,73,418
The Fabelmans,2022,151,PG-13,7.5,84,"108,554"
Ghosted,2023,116,PG-13,5.8,34,"56,169"
Sea of Love,1989,113,R,6.8,66,"43,539"
Mulholland Drive,2001,147,R,7.9,86,"376,778"
Deadpool,2016,108,R,8.0,65,"1,099,517"
Spider-Man,2002,121,PG-13,7.4,73,"862,105"
All Quiet on the Western Front,2022,148,R,7.8,76,"229,983"
Aftersun,2022,102,R,7.7,95,"80,279"
Bob Marley: One Love,2024,N/A,,,,N/A
The Great Gatsby,2013,143,PG-13,7.2,55,"583,029"
Perfect Days,2023,123,PG,7.9,72,"1,999"
Better Watch Out,2016,89,R,6.5,67,"44,031"
She's All That,1999,95,PG-13,5.9,51,"101,612"
Pathaan,2023,146,Not Rated,5.9,47,"150,244"
Howl's Moving Castle,2004,119,PG,8.2,82,"432,114"
Mr. & Mrs. Smith,2005,120,PG-13,6.5,55,"527,561"
Kill Bill: Vol. 1,2003,111,R,8.2,69,"1,169,502"
Ghostbusters: Afterlife,2021,124,PG-13,7.1,45,"205,730"
Harry Potter and the Half-Blood Prince,2009,153,PG,7.6,78,"581,447"
Arthur Christmas,2011,97,PG,7.1,69,"65,024"
Snowpiercer,2013,126,R,7.1,84,"382,216"
